player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions,gw_folder
570,25-26-prem-manchester-city-vs-tottenham-hotspur,1,0,0,0,0.0,0.0,0,0,0,0,4,2,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,2,2,0,1,0,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,91,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
586,25-26-prem-manchester-city-vs-tottenham-hotspur,5,0,0,0,0.0,0.05,0,1,0,1,6,2,0.0,1.0,0,0,0.0,0,0.0,0,0,0,0,3,3,0,1,1,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,86,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
81,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,13,0,0,2,0.11,0.01,0,0,0,2,13,5,0.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,78,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
654,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,78,0,0,1,0.1,0.01,1,1,0,4,31,14,0.0,0.0,0,0,0.0,1,0.0,0,0,0,0,1,1,1,5,10,1,0.0,4,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.24,0,0,78,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
85,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,88,0,0,1,0.03,0.01,1,1,0,0,55,37,0.0,0.0,7,0,0.0,3,0.0,1,1,3,2,1,0,1,5,5,4,0.0,1,0.0,2,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.23,2,0,88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
74,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.04,0,1,0,3,81,47,0.0,1.0,9,1,0.0,1,0.0,0,0,4,0,4,4,0,3,3,2,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
697,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,24,0,0,0,0.0,0.02,0,2,0,1,30,13,0.0,1.0,1,0,0.0,0,0.0,2,1,2,0,0,0,0,7,4,7,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,66,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
628,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.03,0,0,0,0,42,16,0.0,1.0,13,0,0.0,8,0.0,0,0,12,0,1,0,0,1,0,0,0.0,1,0.0,0,0,3,1,0.93,-0.07,1,16,8,,2,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
90,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,66,0,0,1,0.05,0.03,0,1,0,2,56,29,0.0,1.0,5,0,0.0,0,0.0,2,0,1,0,2,2,0,7,7,7,0.0,0,0.0,3,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
73,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0,0,0,0,58,40,0.0,0.0,10,0,0.0,1,0.0,0,0,1,0,2,0,0,2,2,2,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
97,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,88,0,0,0,0.0,0.02,0,0,0,2,20,14,0.0,4.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,3,7,3,0.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
86,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,66,0,0,3,0.17,0.67,0,2,0,4,39,17,0.0,1.0,5,2,0.0,2,0.0,0,0,2,0,2,1,0,3,4,3,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
643,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,45,0,0,0,0.0,0.01,0,2,0,0,25,13,0.0,0.0,4,0,0.0,1,0.0,1,1,2,0,0,0,1,5,1,5,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,46,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
636,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,35,0,0,0,0.0,0.0,0,0,0,0,18,9,0.0,0.0,1,0,0.0,0,0.0,1,0,1,1,1,1,0,5,1,3,0.0,2,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,56,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
